"arc_length","U:y"
0,0
0.01,7.7552E-07
0.02,1.8164E-06
0.03,3.5821E-06
0.04,5.7992E-06
0.05,8.4319E-06
0.06,0.000011568
0.07,0.000014865
0.08,0.000018627
0.09,0.000022463
0.1,0.000026583
0.11,0.000030806
0.12,0.000035198
0.13,0.00003972
0.14,0.000044349
0.15,0.000049153
0.16,0.000054027
0.17,0.000059154
0.18,0.000064326
0.19,0.000069882
0.2,0.000075493
0.21,0.000081593
0.22,0.000087821
0.23,0.000094641
0.24,0.0001017
0.25,0.00010948
0.26,0.00011763
0.27,0.00012664
0.28,0.0001362
0.29,0.00014676
0.3,0.00015806
0.31,0.00017056
0.32,0.00018398
0.33,0.00019884
0.34,0.00021477
0.35,0.00023248
0.36,0.00025136
0.37,0.00027243
0.38,0.0002947
0.39,0.00031973
0.4,0.00034585
0.41,0.00037548
0.42,0.00040592
0.43,0.00044083
0.44,0.00047606
0.45,0.000517
0.46,0.00055794
0.47,0.00060526
0.48,0.00065303
0.49,0.00070691
0.5,0.00076236
0.51,0.0008233
0.52,0.00088734
0.53,0.00095581
0.54,0.0010294
0.55,0.0011058
0.56,0.0011899
0.57,0.0012747
0.58,0.0013704
0.59,0.0014661
0.6,0.0015722
0.61,0.0016806
0.62,0.0017968
0.63,0.0019189
0.64,0.0020454
0.65,0.0021824
0.66,0.0023195
0.67,0.0024725
0.68,0.0026256
0.69,0.0027904
0.7,0.0029606
0.71,0.0031372
0.72,0.0033257
0.73,0.0035141
0.74,0.0037218
0.75,0.0039296
0.76,0.00415
0.77,0.004378
0.78,0.0046109
0.79,0.0048602
0.8,0.0051095
0.81,0.0053765
0.82,0.0056478
0.83,0.0059275
0.84,0.0062215
0.85,0.0065154
0.86,0.0068304
0.87,0.0071475
0.88,0.0074746
0.89,0.007815
0.9,0.0081554
0.91,0.0085173
0.92,0.0088811
0.93,0.0092539
0.94,0.0096405
0.95,0.010027
0.96,0.010433
0.97,0.010841
0.98,0.011256
0.99,0.011686
1,0.012116
1.01,0.012559
1.02,0.013008
1.03,0.013458
1.04,0.013925
1.05,0.014391
1.06,0.014863
1.07,0.015344
1.08,0.015824
1.09,0.016313
1.1,0.016804
1.11,0.017296
1.12,0.017794
1.13,0.018292
1.14,0.01879
1.15,0.019289
1.16,0.019788
1.17,0.020285
1.18,0.02078
1.19,0.021275
1.2,0.02176
1.21,0.022244
1.22,0.022726
1.23,0.023192
1.24,0.023657
1.25,0.024114
1.26,0.024553
1.27,0.024991
1.28,0.025413
1.29,0.025815
1.3,0.026218
1.31,0.026592
1.32,0.026949
1.33,0.027306
1.34,0.027622
1.35,0.027922
1.36,0.028223
1.37,0.028468
1.38,0.028702
1.39,0.028936
1.4,0.029101
1.41,0.029257
1.42,0.029413
1.43,0.029488
1.44,0.029556
1.45,0.029624
1.46,0.0296
1.47,0.029571
1.48,0.029542
1.49,0.029415
1.5,0.02928
1.51,0.029145
1.52,0.02891
1.53,0.028664
1.54,0.028417
1.55,0.028075
1.56,0.027713
1.57,0.027351
1.58,0.026903
1.59,0.026426
1.6,0.025949
1.61,0.025401
1.62,0.024811
1.63,0.024221
1.64,0.023581
1.65,0.022888
1.66,0.022194
1.67,0.021473
1.68,0.02069
1.69,0.019907
1.7,0.019116
1.71,0.018264
1.72,0.017412
1.73,0.01656
1.74,0.015673
1.75,0.01478
1.76,0.013887
1.77,0.012991
1.78,0.012093
1.79,0.011195
1.8,0.010308
1.81,0.0094456
1.82,0.008583
1.83,0.0077221
1.84,0.006941
1.85,0.0061599
1.86,0.0053788
1.87,0.004684
1.88,0.0040306
1.89,0.0033773
1.9,0.0027752
1.91,0.0022922
1.92,0.0018092
1.93,0.0013262
1.94,0.0010243
1.95,0.00074309
1.96,0.00046188
1.97,0.00026947
1.98,0.00017964
1.99,0.000089822
2,0
