"arc_length","Ux"
0,0
0.02,-0.000231
0.04,-0.00073095
0.06,-0.0015009
0.08,-0.0025325
0.1,-0.0038073
0.12,-0.0053699
0.14,-0.0071151
0.16,-0.0090308
0.18,-0.011101
0.2,-0.01331
0.22,-0.015681
0.24,-0.018143
0.26,-0.020687
0.28,-0.023303
0.3,-0.025979
0.32,-0.028716
0.34,-0.031477
0.36,-0.034258
0.38,-0.037051
0.4,-0.039848
0.42,-0.042637
0.44,-0.045409
0.46,-0.048161
0.48,-0.050886
0.5,-0.053581
0.52,-0.056226
0.54,-0.058831
0.56,-0.061391
0.58,-0.063903
0.6,-0.066366
0.62,-0.068755
0.64,-0.071091
0.66,-0.073368
0.68,-0.075586
0.7,-0.077743
0.72,-0.079814
0.74,-0.081822
0.76,-0.083763
0.78,-0.085635
0.8,-0.087439
0.82,-0.089147
0.84,-0.090781
0.86,-0.09234
0.88,-0.093821
0.9,-0.095224
0.92,-0.09652
0.94,-0.097728
0.96,-0.098849
0.98,-0.099879
1,-0.10082
1.02,-0.10163
1.04,-0.10234
1.06,-0.10294
1.08,-0.10344
1.1,-0.10382
1.12,-0.10406
1.14,-0.10416
1.16,-0.10414
1.18,-0.10399
1.2,-0.1037
1.22,-0.10323
1.24,-0.10261
1.26,-0.10183
1.28,-0.1009
1.3,-0.099811
1.32,-0.098512
1.34,-0.097029
1.36,-0.095374
1.38,-0.093543
1.4,-0.091534
1.42,-0.089297
1.44,-0.086869
1.46,-0.084264
1.48,-0.081483
1.5,-0.078529
1.52,-0.075356
1.54,-0.072021
1.56,-0.068539
1.58,-0.064919
1.6,-0.061171
1.62,-0.05727
1.64,-0.053291
1.66,-0.049246
1.68,-0.045155
1.7,-0.041037
1.72,-0.036911
1.74,-0.032848
1.76,-0.028858
1.78,-0.024968
1.8,-0.021207
1.82,-0.017652
1.84,-0.014338
1.86,-0.011271
1.88,-0.0084808
1.9,-0.0059949
1.92,-0.0039565
1.94,-0.0023323
1.96,-0.0011283
1.98,-0.00035652
2,0
