"arc_length","U:x"
0,0
0.02,-0.0034895
0.04,-0.0068184
0.06,-0.010006
0.08,-0.013065
0.1,-0.016007
0.12,-0.018843
0.14,-0.021581
0.16,-0.024233
0.18,-0.026806
0.2,-0.029306
0.22,-0.031744
0.24,-0.034127
0.26,-0.03646
0.28,-0.038751
0.3,-0.041003
0.32,-0.043222
0.34,-0.045412
0.36,-0.047576
0.38,-0.049718
0.4,-0.051841
0.42,-0.053947
0.44,-0.056037
0.46,-0.058114
0.48,-0.060177
0.5,-0.062228
0.52,-0.064267
0.54,-0.066294
0.56,-0.068307
0.58,-0.070305
0.6,-0.072287
0.62,-0.07425
0.64,-0.076192
0.66,-0.07811
0.68,-0.079993
0.7,-0.081844
0.72,-0.083655
0.74,-0.085423
0.76,-0.087143
0.78,-0.088809
0.8,-0.090407
0.82,-0.091925
0.84,-0.093364
0.86,-0.094717
0.88,-0.095978
0.9,-0.097134
0.92,-0.098144
0.94,-0.099028
0.96,-0.09978
0.98,-0.10039
1,-0.10082
1.02,-0.10104
1.04,-0.10109
1.06,-0.10095
1.08,-0.10058
1.1,-0.099925
1.12,-0.099044
1.14,-0.09793
1.16,-0.096504
1.18,-0.094736
1.2,-0.092692
1.22,-0.09037
1.24,-0.087582
1.26,-0.084451
1.28,-0.081001
1.3,-0.077113
1.32,-0.07273
1.34,-0.067987
1.36,-0.062823
1.38,-0.057012
1.4,-0.050797
1.42,-0.044158
1.44,-0.036726
1.46,-0.028845
1.48,-0.020499
1.5,-0.011228
1.52,-0.0014636
1.54,0.0088678
1.56,0.020223
1.58,0.032121
1.6,0.044778
1.62,0.058503
1.64,0.072816
1.66,0.088206
1.68,0.1046
1.7,0.12161
1.72,0.14016
1.74,0.15947
1.76,0.17974
1.78,0.20146
1.8,0.22382
1.82,0.24768
1.84,0.27243
1.86,0.29804
1.88,0.32501
1.9,0.35245
1.92,0.38106
1.94,0.41015
1.96,0.4398
1.98,0.46983
2,0.5
