"""arc_length""","""U:y"""
0,0
0.02,1.8015E-06
0.04,5.7463E-06
0.06,0.000011453
0.08,0.000018426
0.1,0.000026274
0.12,0.000034758
0.14,0.000043758
0.16,0.000053263
0.18,0.000063371
0.2,0.000074328
0.22,0.000086429
0.24,0.00010007
0.26,0.00011574
0.28,0.00013404
0.3,0.00015562
0.32,0.00018124
0.34,0.00021174
0.36,0.00024801
0.38,0.00029104
0.4,0.00034188
0.42,0.00040163
0.44,0.00047145
0.46,0.00055301
0.48,0.00064778
0.5,0.00075681
0.52,0.00088149
0.54,0.0010232
0.56,0.0011835
0.58,0.0013637
0.6,0.0015653
0.62,0.0017896
0.64,0.002038
0.66,0.0023118
0.68,0.0026177
0.7,0.0029526
0.72,0.0033175
0.74,0.0037135
0.76,0.0041416
0.78,0.0046024
0.8,0.0051009
0.82,0.0056393
0.84,0.0062129
0.86,0.0068219
0.88,0.007466
0.9,0.0081469
0.92,0.0088727
0.94,0.0096323
0.96,0.010424
0.98,0.011248
1,0.012108
1.02,0.013
1.04,0.013917
1.06,0.014856
1.08,0.015817
1.1,0.016797
1.12,0.017787
1.14,0.018784
1.16,0.019783
1.18,0.020774
1.2,0.021755
1.22,0.022721
1.24,0.023652
1.26,0.024548
1.28,0.025409
1.3,0.026214
1.32,0.026946
1.34,0.027618
1.36,0.02822
1.38,0.028699
1.4,0.029098
1.42,0.029411
1.44,0.029554
1.46,0.029599
1.48,0.029541
1.5,0.029279
1.52,0.028909
1.54,0.028416
1.56,0.027712
1.58,0.026903
1.6,0.025948
1.62,0.02481
1.64,0.023581
1.66,0.022194
1.68,0.020689
1.7,0.019116
1.72,0.017412
1.74,0.015672
1.76,0.013887
1.78,0.012093
1.8,0.010308
1.82,0.0085829
1.84,0.0069408
1.86,0.0053787
1.88,0.0040305
1.9,0.0027751
1.92,0.0018091
1.94,0.0010242
1.96,0.00046183
1.98,0.00017962
2,0
