"arc_length","T"
0,931.8
0.01,936.74
0.02,942.9
0.03,952.38
0.04,961.63
0.05,970.66
0.06,979.63
0.07,988.59
0.08,997.42
0.09,1006.2
0.1,1014.9
0.11,1023.6
0.12,1032.2
0.13,1040.8
0.14,1049.4
0.15,1057.9
0.16,1066.4
0.17,1074.8
0.18,1083.2
0.19,1091.6
0.2,1099.8
0.21,1107.9
0.22,1116
0.23,1123.8
0.24,1131.7
0.25,1139.4
0.26,1147.1
0.27,1154.5
0.28,1161.9
0.29,1169.1
0.3,1176
0.31,1182.7
0.32,1189.2
0.33,1195.5
0.34,1201.6
0.35,1207.5
0.36,1213.1
0.37,1218.5
0.38,1223.7
0.39,1228.7
0.4,1233.5
0.41,1238
0.42,1242.4
0.43,1246.6
0.44,1250.7
0.45,1254.4
0.46,1258.2
0.47,1261.5
0.48,1264.9
0.49,1268
0.5,1271
0.51,1273.8
0.52,1276.5
0.53,1279
0.54,1281.3
0.55,1283.6
0.56,1285.6
0.57,1287.5
0.58,1289.2
0.59,1290.9
0.6,1292.4
0.61,1293.9
0.62,1295.2
0.63,1296.4
0.64,1297.5
0.65,1298.5
0.66,1299.5
0.67,1300.3
0.68,1301.1
0.69,1301.8
0.7,1302.4
0.71,1303
0.72,1303.5
0.73,1304
0.74,1304.4
0.75,1304.8
0.76,1305.1
0.77,1305.4
0.78,1305.6
0.79,1305.8
0.8,1305.9
0.81,1306
0.82,1306
0.83,1306
0.84,1306
0.85,1306
0.86,1306
0.87,1306
0.88,1306
0.89,1306
0.9,1306
0.91,1306
0.92,1306
0.93,1305.9
0.94,1305.9
0.95,1305.8
0.96,1305.7
0.97,1305.7
0.98,1305.6
0.99,1305.5
1,1305.5
1.01,1305.5
1.02,1305.5
1.03,1305.6
1.04,1305.6
1.05,1305.7
1.06,1305.7
1.07,1305.9
1.08,1306
1.09,1306.2
1.1,1306.4
1.11,1306.5
1.12,1306.7
1.13,1306.9
1.14,1307.2
1.15,1307.5
1.16,1307.8
1.17,1308.2
1.18,1308.6
1.19,1309
1.2,1309.3
1.21,1309.7
1.22,1310.1
1.23,1310.5
1.24,1310.9
1.25,1311.4
1.26,1311.8
1.27,1312.3
1.28,1312.7
1.29,1313.2
1.3,1313.6
1.31,1314.1
1.32,1314.5
1.33,1314.9
1.34,1315.3
1.35,1315.7
1.36,1316
1.37,1316.4
1.38,1316.7
1.39,1317
1.4,1317.2
1.41,1317.3
1.42,1317.5
1.43,1317.5
1.44,1317.5
1.45,1317.5
1.46,1317.3
1.47,1317.2
1.48,1317
1.49,1316.6
1.5,1316.2
1.51,1315.7
1.52,1315.1
1.53,1314.4
1.54,1313.8
1.55,1312.8
1.56,1311.7
1.57,1310.6
1.58,1309.2
1.59,1307.8
1.6,1306.3
1.61,1304.6
1.62,1302.6
1.63,1300.7
1.64,1298.5
1.65,1296
1.66,1293.5
1.67,1290.8
1.68,1287.6
1.69,1284.4
1.7,1281.1
1.71,1277.1
1.72,1273.2
1.73,1269.3
1.74,1264.5
1.75,1259.6
1.76,1254.7
1.77,1249.2
1.78,1243.4
1.79,1237.5
1.8,1231.2
1.81,1224
1.82,1216.9
1.83,1209.7
1.84,1201.5
1.85,1193.3
1.86,1185.1
1.87,1175.7
1.88,1165.6
1.89,1155.6
1.9,1145.1
1.91,1133.5
1.92,1121.8
1.93,1110.1
1.94,1089.7
1.95,1068.2
1.96,1046.8
1.97,1028
1.98,1012.3
1.99,996.65
2,980.97
