coordinate[cm],Fission rate density change,Uncertanity,+sigma,-sigma
1,4.6321E+016,0.07195,4.965379595E+016,4.298820405E+016
2,1.0437E+017,0.0667,1.11331479E+017,9.7408521E+016
3,7.416E+016,0.05861,7.85065176E+016,6.98134824E+016
4,1.4273E+017,0.0535,1.50366055E+017,1.35093945E+017
5,2.316E+017,0.04839,2.42807124E+017,2.20392876E+017
6,3540000000000000,0.04862,3712114800000000,3367885200000000
7,1.6719E+017,0.04678,1.750111482E+017,1.593688518E+017
8,2.4946E+017,0.04113,2.597202898E+017,2.391997102E+017
9,3.7753E+017,0.04305,3.937826665E+017,3.612773335E+017
10,2.9445E+017,0.03848,3.05780436E+017,2.83119564E+017
11,2.6194E+017,0.03772,2.718203768E+017,2.520596232E+017
12,7.01500000000005E+016,0.03449,7.25694735000005E+016,6.77305265000005E+016
13,1.9596E+017,0.0345,2.0272062E+017,1.8919938E+017
14,1.9498E+017,0.03451,2.017087598E+017,1.882512402E+017
15,2.042E+017,0.03219,2.10773198E+017,1.97626802E+017
16,1.6401E+017,0.0328,1.69389528E+017,1.58630472E+017
17,2.2904E+017,0.03318,2.366395472E+017,2.214404528E+017
18,1.4776E+017,0.03043,1.522563368E+017,1.432636632E+017
19,2.0405E+017,0.03154,2.10485737E+017,1.97614263E+017
20,3.2342E+017,0.02836,3.325921912E+017,3.142478088E+017
21,2.9148E+017,0.02862,2.998221576E+017,2.831378424E+017
22,2.2002E+017,0.02736,2.260397472E+017,2.140002528E+017
23,1.5978E+017,0.02744,1.641643632E+017,1.553956368E+017
24,2.5964E+017,0.02654,2.665308456E+017,2.527491544E+017
25,2.487E+016,0.02753,2.55546711E+016,2.41853289E+016
26,9.191E+016,0.02733,9.44219003E+016,8.93980997E+016
27,2.2229E+017,0.02634,2.281451186E+017,2.164348814E+017
28,7.582E+016,0.0256,7.7760992E+016,7.3879008E+016
29,1.09410000000001E+017,0.02557,1.12207613700001E+017,1.06612386300001E+017
30,4.312E+016,0.0261,4.4245432E+016,4.1994568E+016
31,-1.0529E+017,0.02562,-1.079875298E+017,-1.025924702E+017
32,-1.0044E+017,0.02588,-1.030393872E+017,-9.78406128E+016
33,5.961E+016,0.02466,6.10799826E+016,5.81400174E+016
34,-2.7309E+017,0.02359,-2.795321931E+017,-2.666478069E+017
35,-4.9835E+017,0.02399,-5.103054165E+017,-4.863945835E+017
36,-2.7225E+017,0.02301,-2.785144725E+017,-2.659855275E+017
37,-2.916E+017,0.02484,-2.98843344E+017,-2.84356656E+017
38,-3.9399999999998E+016,0.02369,-4.03333859999979E+016,-3.8466613999998E+016
39,-2.02900000000002E+017,0.02342,-2.07651918000002E+017,-1.98148082000002E+017
40,-2.181E+017,0.02267,-2.23044327E+017,-2.13155673E+017
41,-5.051E+017,0.02254,-5.16484954E+017,-4.93715046E+017
42,-4.298E+017,0.02257,-4.39500586E+017,-4.20099414E+017
43,-5.019E+017,0.02171,-5.12796249E+017,-4.91003751E+017
44,-9.72E+016,0.02172,-9.9311184E+016,-9.5088816E+016
45,-3.64799999999998E+017,0.02213,-3.72873023999998E+017,-3.56726975999998E+017
46,-4.858E+017,0.02056,-4.95788048E+017,-4.75811952E+017
47,-5.919E+017,0.01994,-6.03702486E+017,-5.80097514E+017
48,-5.827E+017,0.02148,-5.95216396E+017,-5.70183604E+017
49,-6.821E+017,0.02155,-6.96799255E+017,-6.67400745E+017
50,-6.481E+017,0.02041,-6.61327721E+017,-6.34872279E+017
51,-8.584E+017,0.02076,-8.76220384E+017,-8.40579616E+017
52,-6.73900000000002E+017,0.02059,-6.87775601000002E+017,-6.60024399000002E+017
53,-4.561E+017,0.02056,-4.65477416E+017,-4.46722584E+017
54,-4.416E+017,0.02055,-4.5067488E+017,-4.3252512E+017
55,-6.852E+017,0.02075,-6.994179E+017,-6.709821E+017
56,-6.894E+017,0.01991,-7.03125954E+017,-6.75674046E+017
57,-9.73E+017,0.02067,-9.9311191E+017,-9.5288809E+017
58,-8.42700000000002E+017,0.01986,-8.59436022000002E+017,-8.25963978000002E+017
59,-9.405E+017,0.02034,-9.5962977E+017,-9.2137023E+017
60,-8.717E+017,0.01892,-8.88192564E+017,-8.55207436E+017
61,-8.888E+017,0.01878,-9.05491664E+017,-8.72108336E+017
62,-5.169E+017,0.01935,-5.26902015E+017,-5.06897985E+017
63,-1.2937E+018,0.01943,-1.318836591E+018,-1.268563409E+018
64,-9.36999999999998E+017,0.01846,-9.54297019999998E+017,-9.19702979999998E+017
65,-1.0745E+018,0.01859,-1.094474955E+018,-1.054525045E+018
66,-8.203E+017,0.0192,-8.3604976E+017,-8.0455024E+017
67,-1.2445E+018,0.01876,-1.26784682E+018,-1.22115318E+018
68,-1.1693E+018,0.01816,-1.190534488E+018,-1.148065512E+018
69,-8.406E+017,0.01792,-8.55663552E+017,-8.25536448E+017
70,-1.1165E+018,0.01866,-1.13733389E+018,-1.09566611E+018
71,-1.0966E+018,0.01872,-1.117128352E+018,-1.076071648E+018
72,-5.971E+017,0.01995,-6.09012145E+017,-5.85187855E+017
73,-1.2686E+018,0.01883,-1.292487738E+018,-1.244712262E+018
74,-1.4729E+018,0.01901,-1.500899829E+018,-1.444900171E+018
75,-1.0683E+018,0.01876,-1.088341308E+018,-1.048258692E+018
76,-1.1512E+018,0.01775,-1.1716338E+018,-1.1307662E+018
77,-9.064E+017,0.01737,-9.22144168E+017,-8.90655832E+017
78,-1.0937E+018,0.01813,-1.113528781E+018,-1.073871219E+018
79,-1.1611E+018,0.01694,-1.180769034E+018,-1.141430966E+018
80,-1.1939E+018,0.01783,-1.215187237E+018,-1.172612763E+018
81,-1.1734E+018,0.01806,-1.194591604E+018,-1.152208396E+018
82,-1.0542E+018,0.01819,-1.073375898E+018,-1.035024102E+018
83,-1.2755E+018,0.01792,-1.29835696E+018,-1.25264304E+018
84,-1.4529E+018,0.01804,-1.479110316E+018,-1.426689684E+018
85,-6.82900000000002E+017,0.01729,-6.94707341000002E+017,-6.71092659000002E+017
86,-1.0354E+018,0.0177,-1.05372658E+018,-1.01707342E+018
87,-1.1302E+018,0.01826,-1.150837452E+018,-1.109562548E+018
88,-1.0962E+018,0.01854,-1.116523548E+018,-1.075876452E+018
89,-1.1937E+018,0.01764,-1.214756868E+018,-1.172643132E+018
90,-1.0453E+018,0.01749,-1.063582297E+018,-1.027017703E+018
91,-1.0083E+018,0.01756,-1.026005748E+018,-9.90594252E+017
92,-1.143E+018,0.01739,-1.16287677E+018,-1.12312323E+018
93,-7.92000000000002E+017,0.01674,-8.05258080000002E+017,-7.78741920000002E+017
94,-1.0985E+018,0.0182,-1.1184927E+018,-1.0785073E+018
95,-6.081E+017,0.01816,-6.19143096E+017,-5.97056904E+017
96,-9.437E+017,0.01773,-9.60431801E+017,-9.26968199E+017
97,-3.529E+017,0.01714,-3.58948706E+017,-3.46851294E+017
98,-6.615E+017,0.01797,-6.73387155E+017,-6.49612845E+017
99,-8.794E+017,0.01693,-8.94288242E+017,-8.64511758E+017
100,-8.44499999999998E+017,0.01737,-8.59168964999998E+017,-8.29831034999998E+017
101,-1.049E+018,0.01697,-1.06680153E+018,-1.03119847E+018
102,-4.942E+017,0.01878,-5.03481076E+017,-4.84918924E+017
103,-8.813E+017,0.01792,-8.97092896E+017,-8.65507104E+017
104,-9.037E+017,0.01669,-9.18782753E+017,-8.88617247E+017
105,-5.436E+017,0.01783,-5.53292388E+017,-5.33907612E+017
106,-4.285E+017,0.01769,-4.36080165E+017,-4.20919835E+017
