"arc_length","T"
0,940.12
0.02,951.16
0.04,970.53
0.06,992.76
0.08,1015.1
0.1,1037.4
0.12,1059.5
0.14,1081.3
0.16,1102.7
0.18,1123.8
0.2,1144.4
0.22,1164.2
0.24,1183.4
0.26,1201.9
0.28,1219.6
0.3,1236.2
0.32,1251.3
0.34,1265.5
0.36,1278.6
0.38,1290.3
0.4,1300.6
0.42,1309.7
0.44,1318.2
0.46,1325.6
0.48,1332.1
0.5,1337.7
0.52,1342.2
0.54,1346.1
0.56,1349.3
0.58,1351.9
0.6,1353.6
0.62,1354.5
0.64,1355.2
0.66,1355.2
0.68,1354.7
0.7,1353.6
0.72,1352.1
0.74,1350.1
0.76,1347.9
0.78,1345.4
0.8,1342.6
0.82,1339.2
0.84,1335.8
0.86,1332.1
0.88,1328.1
0.9,1324.1
0.92,1319.8
0.94,1315.3
0.96,1310.7
0.98,1305.9
1,1301.1
1.02,1295.9
1.04,1290.4
1.06,1285
1.08,1279.4
1.1,1273.8
1.12,1267.9
1.14,1262
1.16,1255.9
1.18,1249.8
1.2,1243.5
1.22,1237
1.24,1230.5
1.26,1223.9
1.28,1217.2
1.3,1210.5
1.32,1203.7
1.34,1196.7
1.36,1189.7
1.38,1182.7
1.4,1175.5
1.42,1168.3
1.44,1161
1.46,1153.7
1.48,1146.4
1.5,1139.2
1.52,1131.6
1.54,1124
1.56,1116.5
1.58,1108.9
1.6,1101
1.62,1093.1
1.64,1085.4
1.66,1077.7
1.68,1069.9
1.7,1062.3
1.72,1054.9
1.74,1047.3
1.76,1039.4
1.78,1031.5
1.8,1023.6
1.82,1015.7
1.84,1008
1.86,1000.5
1.88,993.36
1.9,986.45
1.92,979.13
1.94,970.41
1.96,959.08
1.98,946.87
2,938.71
