"arc_length","Result"
0,0
0.02,1.8574E+016
0.04,3.4647E+016
0.06,4.9372E+016
0.08,6.3388E+016
0.1,7.6837E+016
0.12,8.9181E+016
0.14,1.0057E+017
0.16,1.1111E+017
0.18,1.2087E+017
0.2,1.299E+017
0.22,1.3808E+017
0.24,1.4564E+017
0.26,1.5264E+017
0.28,1.5913E+017
0.3,1.6523E+017
0.32,1.707E+017
0.34,1.7572E+017
0.36,1.8034E+017
0.38,1.8458E+017
0.4,1.8839E+017
0.42,1.917E+017
0.44,1.9478E+017
0.46,1.9761E+017
0.48,2.0021E+017
0.5,2.026E+017
0.52,2.047E+017
0.54,2.0642E+017
0.56,2.0789E+017
0.58,2.0917E+017
0.6,2.1026E+017
0.62,2.109E+017
0.64,2.1123E+017
0.66,2.1138E+017
0.68,2.1139E+017
0.7,2.1129E+017
0.72,2.1083E+017
0.74,2.1014E+017
0.76,2.0941E+017
0.78,2.0869E+017
0.8,2.0788E+017
0.82,2.0669E+017
0.84,2.0526E+017
0.86,2.0363E+017
0.88,2.0183E+017
0.9,1.9986E+017
0.92,1.9763E+017
0.94,1.954E+017
0.96,1.9337E+017
0.98,1.9185E+017
1,1.9127E+017
1.02,1.9232E+017
1.04,1.9414E+017
1.06,1.9639E+017
1.08,1.9874E+017
1.1,2.0092E+017
1.12,2.0277E+017
1.14,2.0446E+017
1.16,2.0589E+017
1.18,2.0704E+017
1.2,2.0794E+017
1.22,2.0881E+017
1.24,2.0958E+017
1.26,2.1017E+017
1.28,2.1053E+017
1.3,2.1072E+017
1.32,2.1077E+017
1.34,2.1063E+017
1.36,2.1027E+017
1.38,2.0971E+017
1.4,2.0898E+017
1.42,2.0803E+017
1.44,2.0685E+017
1.46,2.0543E+017
1.48,2.0372E+017
1.5,2.0173E+017
1.52,1.9941E+017
1.54,1.9685E+017
1.56,1.9406E+017
1.58,1.9102E+017
1.6,1.8766E+017
1.62,1.838E+017
1.64,1.7958E+017
1.66,1.7497E+017
1.68,1.6997E+017
1.7,1.6461E+017
1.72,1.5867E+017
1.74,1.5222E+017
1.76,1.4524E+017
1.78,1.377E+017
1.8,1.2961E+017
1.82,1.2068E+017
1.84,1.1099E+017
1.86,1.0049E+017
1.88,8.9115E+016
1.9,7.6809E+016
1.92,6.3321E+016
1.94,4.9279E+016
1.96,3.4532E+016
1.98,1.8481E+016
2,0
