"arc_length","Result"
0,0
0.01,6839700000000000
0.02,1.3141E+016
0.03,1.7972E+016
0.04,2.2322E+016
0.05,2.6228E+016
0.06,2.98E+016
0.07,3.3264E+016
0.08,3.6398E+016
0.09,3.9475E+016
0.1,4.2332E+016
0.11,4.5133E+016
0.12,4.7842E+016
0.13,5.0485E+016
0.14,5.3075E+016
0.15,5.5578E+016
0.16,5.8047E+016
0.17,6.0474E+016
0.18,6.2892E+016
0.19,6.52E+016
0.2,6.7494E+016
0.21,6.9672E+016
0.22,7.1851E+016
0.23,7.4033E+016
0.24,7.6213E+016
0.25,7.8384E+016
0.26,8.0526E+016
0.27,8.2603E+016
0.28,8.4668E+016
0.29,8.6713E+016
0.3,8.8743E+016
0.31,9.075E+016
0.32,9.2748E+016
0.33,9.4731E+016
0.34,9.6713E+016
0.35,9.8694E+016
0.36,1.0064E+017
0.37,1.0253E+017
0.38,1.0441E+017
0.39,1.0624E+017
0.4,1.0807E+017
0.41,1.0986E+017
0.42,1.1166E+017
0.43,1.1348E+017
0.44,1.153E+017
0.45,1.1708E+017
0.46,1.1886E+017
0.47,1.206E+017
0.48,1.2234E+017
0.49,1.2409E+017
0.5,1.2584E+017
0.51,1.2757E+017
0.52,1.2929E+017
0.53,1.3101E+017
0.54,1.3273E+017
0.55,1.3444E+017
0.56,1.361E+017
0.57,1.3776E+017
0.58,1.3933E+017
0.59,1.409E+017
0.6,1.4246E+017
0.61,1.4401E+017
0.62,1.4557E+017
0.63,1.4715E+017
0.64,1.487E+017
0.65,1.502E+017
0.66,1.517E+017
0.67,1.5312E+017
0.68,1.5453E+017
0.69,1.5591E+017
0.7,1.5726E+017
0.71,1.5861E+017
0.72,1.5995E+017
0.73,1.6129E+017
0.74,1.6262E+017
0.75,1.6394E+017
0.76,1.6525E+017
0.77,1.6654E+017
0.78,1.6784E+017
0.79,1.6912E+017
0.8,1.7041E+017
0.81,1.7164E+017
0.82,1.7286E+017
0.83,1.7406E+017
0.84,1.7521E+017
0.85,1.7636E+017
0.86,1.7746E+017
0.87,1.7856E+017
0.88,1.7965E+017
0.89,1.8074E+017
0.9,1.8182E+017
0.91,1.8285E+017
0.92,1.8388E+017
0.93,1.8489E+017
0.94,1.8586E+017
0.95,1.8684E+017
0.96,1.8776E+017
0.97,1.8867E+017
0.98,1.8957E+017
0.99,1.9042E+017
1,1.9127E+017
1.01,1.9209E+017
1.02,1.929E+017
1.03,1.937E+017
1.04,1.9445E+017
1.05,1.952E+017
1.06,1.9593E+017
1.07,1.9662E+017
1.08,1.9732E+017
1.09,1.9796E+017
1.1,1.986E+017
1.11,1.9922E+017
1.12,1.9978E+017
1.13,2.0035E+017
1.14,2.0087E+017
1.15,2.0135E+017
1.16,2.0183E+017
1.17,2.0228E+017
1.18,2.0271E+017
1.19,2.0315E+017
1.2,2.0353E+017
1.21,2.0391E+017
1.22,2.0428E+017
1.23,2.0459E+017
1.24,2.0489E+017
1.25,2.0517E+017
1.26,2.0538E+017
1.27,2.0559E+017
1.28,2.0578E+017
1.29,2.0594E+017
1.3,2.0609E+017
1.31,2.0621E+017
1.32,2.063E+017
1.33,2.0639E+017
1.34,2.064E+017
1.35,2.0637E+017
1.36,2.0635E+017
1.37,2.0625E+017
1.38,2.0613E+017
1.39,2.0602E+017
1.4,2.0581E+017
1.41,2.0559E+017
1.42,2.0538E+017
1.43,2.0507E+017
1.44,2.0475E+017
1.45,2.0443E+017
1.46,2.0399E+017
1.47,2.0355E+017
1.48,2.0311E+017
1.49,2.0257E+017
1.5,2.0202E+017
1.51,2.0147E+017
1.52,2.0077E+017
1.53,2.0006E+017
1.54,1.9934E+017
1.55,1.9847E+017
1.56,1.9757E+017
1.57,1.9666E+017
1.58,1.9567E+017
1.59,1.9464E+017
1.6,1.9361E+017
1.61,1.9246E+017
1.62,1.9125E+017
1.63,1.9004E+017
1.64,1.8872E+017
1.65,1.8727E+017
1.66,1.8583E+017
1.67,1.8431E+017
1.68,1.8261E+017
1.69,1.8091E+017
1.7,1.7918E+017
1.71,1.7717E+017
1.72,1.7515E+017
1.73,1.7313E+017
1.74,1.7075E+017
1.75,1.6832E+017
1.76,1.6588E+017
1.77,1.6318E+017
1.78,1.6032E+017
1.79,1.5745E+017
1.8,1.5438E+017
1.81,1.5089E+017
1.82,1.474E+017
1.83,1.4389E+017
1.84,1.3948E+017
1.85,1.3506E+017
1.86,1.3065E+017
1.87,1.2528E+017
1.88,1.1946E+017
1.89,1.1364E+017
1.9,1.0712E+017
1.91,9.8965E+016
1.92,9.0815E+016
1.93,8.2664E+016
1.94,7.232E+016
1.95,6.1727E+016
1.96,5.1134E+016
1.97,3.9367E+016
1.98,2.6244E+016
1.99,1.3122E+016
2,0
