"""arc_length""","""T"""
0,935.36
0.02,943.01
0.04,960.28
0.06,984.82
0.08,1013.9
0.1,1044
0.12,1071.3
0.14,1095.9
0.16,1117.9
0.18,1137.4
0.2,1154.8
0.22,1170
0.24,1183.7
0.26,1196.2
0.28,1207.6
0.3,1218.2
0.32,1227.9
0.34,1237.1
0.36,1245.4
0.38,1252.5
0.4,1258.4
0.42,1263.5
0.44,1268.1
0.46,1271.9
0.48,1274.9
0.5,1277.7
0.52,1281.8
0.54,1284.8
0.56,1286.3
0.58,1286.9
0.6,1287
0.62,1287.4
0.64,1287.8
0.66,1287.3
0.68,1286.1
0.7,1284.8
0.72,1284.2
0.74,1283.6
0.76,1283.2
0.78,1283
0.8,1282.8
0.82,1282.9
0.84,1282.5
0.86,1281.8
0.88,1281
0.9,1280.8
0.92,1280.9
0.94,1281.1
0.96,1281.6
0.98,1282.4
1,1282.9
1.02,1281.8
1.04,1280.4
1.06,1279.1
1.08,1278.2
1.1,1278
1.12,1279.1
1.14,1280.5
1.16,1281.6
1.18,1282.3
1.2,1283.1
1.22,1283.8
1.24,1284.1
1.26,1284.5
1.28,1285.6
1.3,1287.3
1.32,1288
1.34,1288.3
1.36,1288.7
1.38,1288.9
1.4,1288.1
1.42,1285.6
1.44,1284.2
1.46,1283.8
1.48,1283.6
1.5,1281.9
1.52,1279
1.54,1275.1
1.56,1269.4
1.58,1263
1.6,1257.3
1.62,1251
1.64,1243.7
1.66,1235.5
1.68,1226.5
1.7,1216.9
1.72,1206.3
1.74,1194.8
1.76,1182.3
1.78,1168.8
1.8,1154
1.82,1136.6
1.84,1117.2
1.86,1095.3
1.88,1070.7
1.9,1043.3
1.92,1013.4
1.94,984.4
1.96,959.76
1.98,942.5
2,935.12
