"""arc_length""","""T"""
0,935.19
0.01,940.89
0.02,947.43
0.03,956.24
0.04,963.66
0.05,969.8
0.06,976.04
0.07,982.3
0.08,987.65
0.09,993.12
0.1,999.22
0.11,1005
0.12,1010.3
0.13,1015.3
0.14,1020
0.15,1025
0.16,1030
0.17,1034.5
0.18,1038.8
0.19,1042.9
0.2,1047
0.21,1051.4
0.22,1055.8
0.23,1060.1
0.24,1064.4
0.25,1068.2
0.26,1072.2
0.27,1076.2
0.28,1080.3
0.29,1084.3
0.3,1088.3
0.31,1092.3
0.32,1096.2
0.33,1100
0.34,1103.7
0.35,1107.2
0.36,1110.8
0.37,1114.4
0.38,1118
0.39,1121.4
0.4,1124.9
0.41,1128.2
0.42,1131.5
0.43,1135
0.44,1138.4
0.45,1141.8
0.46,1145.2
0.47,1148.4
0.48,1151.6
0.49,1154.8
0.5,1158
0.51,1161.1
0.52,1164.3
0.53,1167.3
0.54,1170.4
0.55,1173.4
0.56,1176.5
0.57,1179.5
0.58,1182.4
0.59,1185.3
0.6,1188.2
0.61,1191.1
0.62,1193.9
0.63,1196.8
0.64,1199.7
0.65,1202.5
0.66,1205.3
0.67,1208
0.68,1210.7
0.69,1213.4
0.7,1216.1
0.71,1218.8
0.72,1221.5
0.73,1224.2
0.74,1226.7
0.75,1229.2
0.76,1231.7
0.77,1234.1
0.78,1236.5
0.79,1238.9
0.8,1241.2
0.81,1243.5
0.82,1245.8
0.83,1248
0.84,1250.3
0.85,1252.6
0.86,1254.9
0.87,1257.2
0.88,1259.5
0.89,1261.6
0.9,1263.8
0.91,1265.8
0.92,1267.7
0.93,1269.7
0.94,1271.6
0.95,1273.5
0.96,1275.4
0.97,1277.3
0.98,1279.2
0.99,1281
1,1282.9
1.01,1284.5
1.02,1286.2
1.03,1287.8
1.04,1289.4
1.05,1290.9
1.06,1292.4
1.07,1293.9
1.08,1295.3
1.09,1296.7
1.1,1298.2
1.11,1299.6
1.12,1300.9
1.13,1302.2
1.14,1303.5
1.15,1304.8
1.16,1306
1.17,1307.2
1.18,1308.4
1.19,1309.6
1.2,1310.6
1.21,1311.7
1.22,1312.8
1.23,1313.8
1.24,1314.7
1.25,1315.7
1.26,1316.5
1.27,1317.4
1.28,1318.2
1.29,1318.9
1.3,1319.5
1.31,1320.2
1.32,1320.8
1.33,1321.4
1.34,1321.8
1.35,1322.2
1.36,1322.6
1.37,1322.9
1.38,1323.2
1.39,1323.5
1.4,1323.7
1.41,1323.8
1.42,1324
1.43,1324
1.44,1323.9
1.45,1323.9
1.46,1323.7
1.47,1323.4
1.48,1323.2
1.49,1322.8
1.5,1322.4
1.51,1322.1
1.52,1321.5
1.53,1320.9
1.54,1320.3
1.55,1319.5
1.56,1318.6
1.57,1317.8
1.58,1316.7
1.59,1315.5
1.6,1314.3
1.61,1312.8
1.62,1311.3
1.63,1309.7
1.64,1307.9
1.65,1305.9
1.66,1303.9
1.67,1301.8
1.68,1299.2
1.69,1296.7
1.7,1294.1
1.71,1290.9
1.72,1287.7
1.73,1284.6
1.74,1280.6
1.75,1276.5
1.76,1272.3
1.77,1267.6
1.78,1262.5
1.79,1257.4
1.8,1251.8
1.81,1244.9
1.82,1238
1.83,1231
1.84,1221.5
1.85,1212.1
1.86,1202.6
1.87,1190.3
1.88,1176.5
1.89,1162.7
1.9,1147
1.91,1126.8
1.92,1106.5
1.93,1086.3
1.94,1062.3
1.95,1038
1.96,1013.6
1.97,994.76
1.98,982.28
1.99,969.8
2,957.32
