"""arc_length""","""U:x"""
0,0
0.02,0.00038367
0.04,0.0011217
0.06,0.0021572
0.08,0.0034241
0.1,0.0048499
0.12,0.0063428
0.14,0.007882
0.16,0.0094151
0.18,0.010919
0.2,0.012372
0.22,0.013688
0.24,0.01495
0.26,0.016113
0.28,0.017171
0.3,0.018115
0.32,0.018877
0.34,0.019566
0.36,0.020152
0.38,0.020639
0.4,0.021034
0.42,0.021297
0.44,0.021499
0.46,0.021621
0.48,0.021662
0.5,0.021624
0.52,0.021484
0.54,0.021265
0.56,0.020962
0.58,0.020581
0.6,0.020129
0.62,0.019612
0.64,0.019021
0.66,0.018368
0.68,0.017656
0.7,0.016886
0.72,0.016071
0.74,0.015182
0.76,0.014245
0.78,0.013261
0.8,0.012233
0.82,0.011181
0.84,0.010062
0.86,0.0089086
0.88,0.0077252
0.9,0.006517
0.92,0.0053179
0.94,0.0040706
0.96,0.0028115
0.98,0.0015429
1,0.0002666
1.02,-0.0009827
1.04,-0.0022675
1.06,-0.003552
1.08,-0.0048336
1.1,-0.0061092
1.12,-0.007335
1.14,-0.0085749
1.16,-0.0097898
1.18,-0.010974
1.2,-0.012123
1.22,-0.013184
1.24,-0.014228
1.26,-0.015222
1.28,-0.016163
1.3,-0.017048
1.32,-0.017826
1.34,-0.018566
1.36,-0.019239
1.38,-0.01984
1.4,-0.020367
1.42,-0.020785
1.44,-0.021159
1.46,-0.021471
1.48,-0.021718
1.5,-0.02189
1.52,-0.021951
1.54,-0.02193
1.56,-0.021821
1.58,-0.021619
1.6,-0.021318
1.62,-0.020907
1.64,-0.02038
1.66,-0.019752
1.68,-0.019023
1.7,-0.018192
1.72,-0.017262
1.74,-0.016195
1.76,-0.015028
1.78,-0.013764
1.8,-0.01241
1.82,-0.010996
1.84,-0.0094891
1.86,-0.0079498
1.88,-0.0064022
1.9,-0.0048733
1.92,-0.0034633
1.94,-0.0021815
1.96,-0.0011332
1.98,-0.00038166
2,0
