"""arc_length""","""U:x"""
0,0
0.02,-0.00021171
0.04,-0.0003696
0.06,-0.00049193
0.08,-0.00058635
0.1,-0.00065719
0.12,-0.00070992
0.14,-0.00074913
0.16,-0.00077958
0.18,-0.000804
0.2,-0.00082273
0.22,-0.00083748
0.24,-0.00085008
0.26,-0.00086142
0.28,-0.00087122
0.3,-0.00087893
0.32,-0.00088481
0.34,-0.00088935
0.36,-0.00089264
0.38,-0.00089408
0.4,-0.00089232
0.42,-0.00088597
0.44,-0.00087459
0.46,-0.00085796
0.48,-0.00083638
0.5,-0.00081084
0.52,-0.00078204
0.54,-0.00075077
0.56,-0.00071742
0.58,-0.00068229
0.6,-0.00064582
0.62,-0.0006082
0.64,-0.00056901
0.66,-0.00052747
0.68,-0.000483
0.7,-0.00043627
0.72,-0.00038716
0.74,-0.00033578
0.76,-0.00028256
0.78,-0.00022812
0.8,-0.0001726
0.82,-0.00011768
0.84,-0.000064503
0.86,-0.000013064
0.88,0.000036605
0.9,0.000084028
0.92,0.00012743
0.94,0.00016719
0.96,0.00020342
0.98,0.00023634
1,0.00026586
1.02,0.00029196
1.04,0.00031543
1.06,0.00033661
1.08,0.00035578
1.1,0.0003726
1.12,0.00038809
1.14,0.00040264
1.16,0.00041687
1.18,0.00043119
1.2,0.00044571
1.22,0.00046053
1.24,0.00047642
1.26,0.00049337
1.28,0.00051125
1.3,0.00053033
1.32,0.0005505
1.34,0.00057092
1.36,0.00059132
1.38,0.00061058
1.4,0.00062905
1.42,0.00064668
1.44,0.00066127
1.46,0.00067384
1.48,0.00068427
1.5,0.00069086
1.52,0.00069539
1.54,0.00069755
1.56,0.00069666
1.58,0.0006946
1.6,0.00069101
1.62,0.00068661
1.64,0.0006822
1.66,0.00067832
1.68,0.0006749
1.7,0.00067167
1.72,0.00066753
1.74,0.00066175
1.76,0.00065386
1.78,0.00064253
1.8,0.00062961
1.82,0.00061279
1.84,0.00059251
1.86,0.0005689
1.88,0.00053858
1.9,0.00050412
1.92,0.0004536
1.94,0.00038342
1.96,0.00028909
1.98,0.00015232
2,0
