"""arc_length""","""U:y"""
0,0
0.02,-0.053283
0.04,-0.097373
0.06,-0.13296
0.08,-0.16069
0.1,-0.18129
0.12,-0.19392
0.14,-0.20152
0.16,-0.20472
0.18,-0.20406
0.2,-0.20003
0.22,-0.19234
0.24,-0.18249
0.26,-0.17078
0.28,-0.15751
0.3,-0.14295
0.32,-0.12715
0.34,-0.11078
0.36,-0.094037
0.38,-0.077096
0.4,-0.060128
0.42,-0.043355
0.44,-0.026915
0.46,-0.010874
0.48,0.0046952
0.5,0.019725
0.52,0.033942
0.54,0.047417
0.56,0.060127
0.58,0.072052
0.6,0.083191
0.62,0.093333
0.64,0.10272
0.66,0.11137
0.68,0.11931
0.7,0.12658
0.72,0.13305
0.74,0.13895
0.76,0.14432
0.78,0.14918
0.8,0.15353
0.82,0.15727
0.84,0.16054
0.86,0.16338
0.88,0.16581
0.9,0.16787
0.92,0.16944
0.94,0.17066
0.96,0.17151
0.98,0.17198
1,0.17206
1.02,0.1716
1.04,0.17076
1.06,0.1696
1.08,0.16812
1.1,0.16637
1.12,0.16425
1.14,0.16181
1.16,0.15901
1.18,0.15582
1.2,0.15221
1.22,0.14799
1.24,0.14327
1.26,0.13804
1.28,0.13226
1.3,0.12592
1.32,0.11869
1.34,0.11077
1.36,0.10213
1.38,0.092738
1.4,0.082572
1.42,0.071339
1.44,0.05938
1.46,0.046681
1.48,0.033248
1.5,0.01908
1.52,0.0039751
1.54,-0.011722
1.56,-0.02795
1.58,-0.044603
1.6,-0.061562
1.62,-0.078715
1.64,-0.095771
1.66,-0.11259
1.68,-0.12899
1.7,-0.14478
1.72,-0.15933
1.74,-0.17255
1.76,-0.18418
1.78,-0.19393
1.8,-0.20149
1.82,-0.20541
1.84,-0.20594
1.86,-0.2026
1.88,-0.19486
1.9,-0.18211
1.92,-0.16132
1.94,-0.13341
1.96,-0.097637
1.98,-0.053451
2,0
