"arc_length","U:y"
0,0
0.01,0.00018976
0.02,0.00045348
0.03,0.00091922
0.04,0.0015286
0.05,0.0022703
0.06,0.0032004
0.07,0.0041906
0.08,0.0053942
0.09,0.0066381
0.1,0.0080392
0.11,0.0095042
0.12,0.011075
0.13,0.012727
0.14,0.014445
0.15,0.016252
0.16,0.018095
0.17,0.020029
0.18,0.021979
0.19,0.024016
0.2,0.026062
0.21,0.028178
0.22,0.030304
0.23,0.032481
0.24,0.034671
0.25,0.036897
0.26,0.039135
0.27,0.0414
0.28,0.043676
0.29,0.04597
0.3,0.048272
0.31,0.050585
0.32,0.052903
0.33,0.055226
0.34,0.05755
0.35,0.059876
0.36,0.0622
0.37,0.064522
0.38,0.066841
0.39,0.069153
0.4,0.071461
0.41,0.073758
0.42,0.076052
0.43,0.078331
0.44,0.080609
0.45,0.082864
0.46,0.085119
0.47,0.087348
0.48,0.089575
0.49,0.091777
0.5,0.093972
0.51,0.096145
0.52,0.098306
0.53,0.10045
0.54,0.10257
0.55,0.10468
0.56,0.10676
0.57,0.10884
0.58,0.11088
0.59,0.11291
0.6,0.11491
0.61,0.1169
0.62,0.11887
0.63,0.12081
0.64,0.12273
0.65,0.12462
0.66,0.12651
0.67,0.12834
0.68,0.13017
0.69,0.13196
0.7,0.13374
0.71,0.13549
0.72,0.1372
0.73,0.13891
0.74,0.14056
0.75,0.1422
0.76,0.1438
0.77,0.14537
0.78,0.14693
0.79,0.14843
0.8,0.14993
0.81,0.15136
0.82,0.15279
0.83,0.15418
0.84,0.15552
0.85,0.15686
0.86,0.15812
0.87,0.15938
0.88,0.16059
0.89,0.16176
0.9,0.16292
0.91,0.16399
0.92,0.16506
0.93,0.16608
0.94,0.16705
0.95,0.16801
0.96,0.16889
0.97,0.16975
0.98,0.17057
0.99,0.17132
1,0.17207
1.01,0.17274
1.02,0.17336
1.03,0.17398
1.04,0.17449
1.05,0.17499
1.06,0.17544
1.07,0.17581
1.08,0.17619
1.09,0.17646
1.1,0.1767
1.11,0.17692
1.12,0.17702
1.13,0.17712
1.14,0.17716
1.15,0.17711
1.16,0.17706
1.17,0.17692
1.18,0.17671
1.19,0.17651
1.2,0.17616
1.21,0.1758
1.22,0.17541
1.23,0.17488
1.24,0.17434
1.25,0.17376
1.26,0.17305
1.27,0.17233
1.28,0.17154
1.29,0.17064
1.3,0.16975
1.31,0.16874
1.32,0.16766
1.33,0.16657
1.34,0.16535
1.35,0.16407
1.36,0.16279
1.37,0.16134
1.38,0.15986
1.39,0.15838
1.4,0.15672
1.41,0.15504
1.42,0.15335
1.43,0.15147
1.44,0.14958
1.45,0.14769
1.46,0.1456
1.47,0.1435
1.48,0.14139
1.49,0.1391
1.5,0.13678
1.51,0.13447
1.52,0.13198
1.53,0.12946
1.54,0.12694
1.55,0.12426
1.56,0.12154
1.57,0.11882
1.58,0.11596
1.59,0.11305
1.6,0.11014
1.61,0.10713
1.62,0.10404
1.63,0.10096
1.64,0.097796
1.65,0.094558
1.66,0.09132
1.67,0.088045
1.68,0.084685
1.69,0.081326
1.7,0.077958
1.71,0.074519
1.72,0.07108
1.73,0.067641
1.74,0.06418
1.75,0.060715
1.76,0.057251
1.77,0.053814
1.78,0.050393
1.79,0.046972
1.8,0.043594
1.81,0.040301
1.82,0.037008
1.83,0.03372
1.84,0.030659
1.85,0.027598
1.86,0.024536
1.87,0.021719
1.88,0.019019
1.89,0.016319
1.9,0.013779
1.91,0.01161
1.92,0.0094417
1.93,0.007273
1.94,0.0057546
1.95,0.0043102
1.96,0.0028659
1.97,0.0018116
1.98,0.0012077
1.99,0.00060385
2,0
