"arc_length","Result"
0,0
0.02,2.1491E+016
0.04,4.0236E+016
0.06,5.6843E+016
0.08,7.1566E+016
0.1,8.4336E+016
0.12,9.4936E+016
0.14,1.0442E+017
0.16,1.1306E+017
0.18,1.2101E+017
0.2,1.2837E+017
0.22,1.3496E+017
0.24,1.4094E+017
0.26,1.4634E+017
0.28,1.5121E+017
0.3,1.5562E+017
0.32,1.5932E+017
0.34,1.6258E+017
0.36,1.6549E+017
0.38,1.6807E+017
0.4,1.7015E+017
0.42,1.7148E+017
0.44,1.7239E+017
0.46,1.7289E+017
0.48,1.73E+017
0.5,1.7271E+017
0.52,1.7188E+017
0.54,1.7076E+017
0.56,1.6952E+017
0.58,1.6835E+017
0.6,1.6747E+017
0.62,1.6757E+017
0.64,1.6854E+017
0.66,1.7027E+017
0.68,1.7258E+017
0.7,1.7517E+017
0.72,1.7789E+017
0.74,1.8063E+017
0.76,1.834E+017
0.78,1.8615E+017
0.8,1.888E+017
0.82,1.9125E+017
0.84,1.9362E+017
0.86,1.9596E+017
0.88,1.9831E+017
0.9,2.0067E+017
0.92,2.029E+017
0.94,2.0503E+017
0.96,2.0703E+017
0.98,2.0893E+017
1,2.1075E+017
1.02,2.1248E+017
1.04,2.1408E+017
1.06,2.1557E+017
1.08,2.1693E+017
1.1,2.1815E+017
1.12,2.1917E+017
1.14,2.2004E+017
1.16,2.2073E+017
1.18,2.2123E+017
1.2,2.2158E+017
1.22,2.2179E+017
1.24,2.2181E+017
1.26,2.2164E+017
1.28,2.2125E+017
1.3,2.2064E+017
1.32,2.1978E+017
1.34,2.1872E+017
1.36,2.1744E+017
1.38,2.1593E+017
1.4,2.1417E+017
1.42,2.1204E+017
1.44,2.0965E+017
1.46,2.07E+017
1.48,2.0406E+017
1.5,2.0084E+017
1.52,1.9721E+017
1.54,1.9332E+017
1.56,1.8915E+017
1.58,1.847E+017
1.6,1.7994E+017
1.62,1.7471E+017
1.64,1.6912E+017
1.66,1.6312E+017
1.68,1.5665E+017
1.7,1.4965E+017
1.72,1.4174E+017
1.74,1.331E+017
1.76,1.2379E+017
1.78,1.1397E+017
1.8,1.0379E+017
1.82,9.3444E+016
1.84,8.3052E+016
1.86,7.2581E+016
1.88,6.2076E+016
1.9,5.1643E+016
1.92,4.1791E+016
1.94,3.2522E+016
1.96,2.3182E+016
1.98,1.2783E+016
2,0
