"arc_length","Result"
0,0
0.01,1.0745E+016
0.02,2.1491E+016
0.03,3.1294E+016
0.04,4.0236E+016
0.05,4.9142E+016
0.06,5.6843E+016
0.07,6.4543E+016
0.08,7.1566E+016
0.09,7.7953E+016
0.1,8.4336E+016
0.11,8.9636E+016
0.12,9.4936E+016
0.13,9.9864E+016
0.14,1.0442E+017
0.15,1.0898E+017
0.16,1.1306E+017
0.17,1.1713E+017
0.18,1.2101E+017
0.19,1.2469E+017
0.2,1.2837E+017
0.21,1.3166E+017
0.22,1.3496E+017
0.23,1.3805E+017
0.24,1.4094E+017
0.25,1.4383E+017
0.26,1.4634E+017
0.27,1.4886E+017
0.28,1.5121E+017
0.29,1.5342E+017
0.3,1.5562E+017
0.31,1.5747E+017
0.32,1.5932E+017
0.33,1.6102E+017
0.34,1.6258E+017
0.35,1.6413E+017
0.36,1.6549E+017
0.37,1.6686E+017
0.38,1.6807E+017
0.39,1.691E+017
0.4,1.7015E+017
0.41,1.7081E+017
0.42,1.7148E+017
0.43,1.7201E+017
0.44,1.7239E+017
0.45,1.7277E+017
0.46,1.7289E+017
0.47,1.7301E+017
0.48,1.73E+017
0.49,1.7285E+017
0.5,1.7271E+017
0.51,1.723E+017
0.52,1.7188E+017
0.53,1.7137E+017
0.54,1.7076E+017
0.55,1.7014E+017
0.56,1.6952E+017
0.57,1.6889E+017
0.58,1.6835E+017
0.59,1.6793E+017
0.6,1.6747E+017
0.61,1.6752E+017
0.62,1.6757E+017
0.63,1.6788E+017
0.64,1.6854E+017
0.65,1.6916E+017
0.66,1.7027E+017
0.67,1.7139E+017
0.68,1.7258E+017
0.69,1.7388E+017
0.7,1.7517E+017
0.71,1.7653E+017
0.72,1.7789E+017
0.73,1.7925E+017
0.74,1.8063E+017
0.75,1.8201E+017
0.76,1.834E+017
0.77,1.8479E+017
0.78,1.8615E+017
0.79,1.8748E+017
0.8,1.888E+017
0.81,1.9002E+017
0.82,1.9125E+017
0.83,1.9245E+017
0.84,1.9362E+017
0.85,1.9478E+017
0.86,1.9596E+017
0.87,1.9714E+017
0.88,1.9831E+017
0.89,1.9949E+017
0.9,2.0067E+017
0.91,2.0179E+017
0.92,2.029E+017
0.93,2.0398E+017
0.94,2.0503E+017
0.95,2.0607E+017
0.96,2.0703E+017
0.97,2.0799E+017
0.98,2.0893E+017
0.99,2.0984E+017
1,2.1075E+017
1.01,2.1162E+017
1.02,2.1248E+017
1.03,2.133E+017
1.04,2.1408E+017
1.05,2.1486E+017
1.06,2.1557E+017
1.07,2.1627E+017
1.08,2.1693E+017
1.09,2.1754E+017
1.1,2.1815E+017
1.11,2.1866E+017
1.12,2.1917E+017
1.13,2.1963E+017
1.14,2.2004E+017
1.15,2.2045E+017
1.16,2.2073E+017
1.17,2.21E+017
1.18,2.2123E+017
1.19,2.214E+017
1.2,2.2158E+017
1.21,2.2168E+017
1.22,2.2179E+017
1.23,2.2183E+017
1.24,2.2181E+017
1.25,2.2181E+017
1.26,2.2164E+017
1.27,2.2148E+017
1.28,2.2125E+017
1.29,2.2095E+017
1.3,2.2064E+017
1.31,2.2021E+017
1.32,2.1978E+017
1.33,2.1929E+017
1.34,2.1872E+017
1.35,2.1816E+017
1.36,2.1744E+017
1.37,2.1673E+017
1.38,2.1593E+017
1.39,2.1505E+017
1.4,2.1417E+017
1.41,2.1311E+017
1.42,2.1204E+017
1.43,2.109E+017
1.44,2.0965E+017
1.45,2.0842E+017
1.46,2.07E+017
1.47,2.0557E+017
1.48,2.0406E+017
1.49,2.0245E+017
1.5,2.0084E+017
1.51,1.9903E+017
1.52,1.9721E+017
1.53,1.9531E+017
1.54,1.9332E+017
1.55,1.9133E+017
1.56,1.8915E+017
1.57,1.8698E+017
1.58,1.847E+017
1.59,1.8232E+017
1.6,1.7994E+017
1.61,1.7732E+017
1.62,1.7471E+017
1.63,1.7198E+017
1.64,1.6912E+017
1.65,1.6626E+017
1.66,1.6312E+017
1.67,1.5997E+017
1.68,1.5665E+017
1.69,1.5315E+017
1.7,1.4965E+017
1.71,1.457E+017
1.72,1.4174E+017
1.73,1.3754E+017
1.74,1.331E+017
1.75,1.2866E+017
1.76,1.2379E+017
1.77,1.1893E+017
1.78,1.1397E+017
1.79,1.0887E+017
1.8,1.0379E+017
1.81,9.8619E+016
1.82,9.3444E+016
1.83,8.827E+016
1.84,8.3052E+016
1.85,7.7855E+016
1.86,7.2581E+016
1.87,6.7307E+016
1.88,6.2076E+016
1.89,5.6847E+016
1.9,5.1643E+016
1.91,4.6717E+016
1.92,4.1791E+016
1.93,3.7075E+016
1.94,3.2522E+016
1.95,2.7979E+016
1.96,2.3182E+016
1.97,1.8385E+016
1.98,1.2783E+016
1.99,6391700000000000
2,0
