"arc_length","Result"
0,0
0.02,1.2851E+016
0.04,2.1881E+016
0.06,2.9235E+016
0.08,3.5709E+016
0.1,4.1579E+016
0.12,4.7088E+016
0.14,5.2348E+016
0.16,5.7415E+016
0.18,6.2398E+016
0.2,6.7258E+016
0.22,7.2014E+016
0.24,7.6804E+016
0.26,8.159E+016
0.28,8.6302E+016
0.3,9.0988E+016
0.32,9.5663E+016
0.34,1.0033E+017
0.36,1.0494E+017
0.38,1.0942E+017
0.4,1.1381E+017
0.42,1.1816E+017
0.44,1.2251E+017
0.46,1.2679E+017
0.48,1.31E+017
0.5,1.3519E+017
0.52,1.3931E+017
0.54,1.4337E+017
0.56,1.4733E+017
0.58,1.5117E+017
0.6,1.5492E+017
0.62,1.5861E+017
0.64,1.6223E+017
0.66,1.6572E+017
0.68,1.6905E+017
0.7,1.7228E+017
0.72,1.7544E+017
0.74,1.7855E+017
0.76,1.816E+017
0.78,1.8459E+017
0.8,1.8749E+017
0.82,1.9026E+017
0.84,1.9292E+017
0.86,1.9547E+017
0.88,1.9794E+017
0.9,2.0033E+017
0.92,2.0261E+017
0.94,2.0479E+017
0.96,2.0688E+017
0.98,2.0888E+017
1,2.1075E+017
1.02,2.1252E+017
1.04,2.1419E+017
1.06,2.1578E+017
1.08,2.1726E+017
1.1,2.1863E+017
1.12,2.199E+017
1.14,2.2106E+017
1.16,2.221E+017
1.18,2.2305E+017
1.2,2.2391E+017
1.22,2.2471E+017
1.24,2.2536E+017
1.26,2.259E+017
1.28,2.2634E+017
1.3,2.2669E+017
1.32,2.2691E+017
1.34,2.2702E+017
1.36,2.2701E+017
1.38,2.2683E+017
1.4,2.2653E+017
1.42,2.2612E+017
1.44,2.2551E+017
1.46,2.2477E+017
1.48,2.2391E+017
1.5,2.2281E+017
1.52,2.2155E+017
1.54,2.2011E+017
1.56,2.1833E+017
1.58,2.1639E+017
1.6,2.1423E+017
1.62,2.1173E+017
1.64,2.0902E+017
1.66,2.059E+017
1.68,2.0238E+017
1.7,1.9862E+017
1.72,1.941E+017
1.74,1.891E+017
1.76,1.8349E+017
1.78,1.7667E+017
1.8,1.692E+017
1.82,1.5989E+017
1.84,1.4911E+017
1.86,1.3692E+017
1.88,1.2319E+017
1.9,1.0923E+017
1.92,9.5665E+016
1.94,8.0697E+016
1.96,6.4007E+016
1.98,3.4373E+016
2,0
