"arc_length","Result"
0,0
0.01,6684500000000000
0.02,1.2851E+016
0.03,1.7601E+016
0.04,2.1881E+016
0.05,2.5729E+016
0.06,2.9235E+016
0.07,3.2632E+016
0.08,3.5709E+016
0.09,3.8737E+016
0.1,4.1579E+016
0.11,4.4373E+016
0.12,4.7088E+016
0.13,4.9742E+016
0.14,5.2348E+016
0.15,5.4894E+016
0.16,5.7415E+016
0.17,5.9909E+016
0.18,6.2398E+016
0.19,6.4831E+016
0.2,6.7258E+016
0.21,6.9634E+016
0.22,7.2014E+016
0.23,7.4408E+016
0.24,7.6804E+016
0.25,7.9204E+016
0.26,8.159E+016
0.27,8.3948E+016
0.28,8.6302E+016
0.29,8.8646E+016
0.3,9.0988E+016
0.31,9.3326E+016
0.32,9.5663E+016
0.33,9.8E+016
0.34,1.0033E+017
0.35,1.0265E+017
0.36,1.0494E+017
0.37,1.0719E+017
0.38,1.0942E+017
0.39,1.1162E+017
0.4,1.1381E+017
0.41,1.1598E+017
0.42,1.1816E+017
0.43,1.2034E+017
0.44,1.2251E+017
0.45,1.2465E+017
0.46,1.2679E+017
0.47,1.289E+017
0.48,1.31E+017
0.49,1.331E+017
0.5,1.3519E+017
0.51,1.3725E+017
0.52,1.3931E+017
0.53,1.4135E+017
0.54,1.4337E+017
0.55,1.4537E+017
0.56,1.4733E+017
0.57,1.4928E+017
0.58,1.5117E+017
0.59,1.5306E+017
0.6,1.5492E+017
0.61,1.5678E+017
0.62,1.5861E+017
0.63,1.6043E+017
0.64,1.6223E+017
0.65,1.6397E+017
0.66,1.6572E+017
0.67,1.6738E+017
0.68,1.6905E+017
0.69,1.7067E+017
0.7,1.7228E+017
0.71,1.7387E+017
0.72,1.7544E+017
0.73,1.7701E+017
0.74,1.7855E+017
0.75,1.8009E+017
0.76,1.816E+017
0.77,1.831E+017
0.78,1.8459E+017
0.79,1.8604E+017
0.8,1.8749E+017
0.81,1.8889E+017
0.82,1.9026E+017
0.83,1.9161E+017
0.84,1.9292E+017
0.85,1.9422E+017
0.86,1.9547E+017
0.87,1.9671E+017
0.88,1.9794E+017
0.89,1.9913E+017
0.9,2.0033E+017
0.91,2.0147E+017
0.92,2.0261E+017
0.93,2.0372E+017
0.94,2.0479E+017
0.95,2.0587E+017
0.96,2.0688E+017
0.97,2.0789E+017
0.98,2.0888E+017
0.99,2.0981E+017
1,2.1075E+017
1.01,2.1164E+017
1.02,2.1252E+017
1.03,2.1339E+017
1.04,2.1419E+017
1.05,2.15E+017
1.06,2.1578E+017
1.07,2.1652E+017
1.08,2.1726E+017
1.09,2.1795E+017
1.1,2.1863E+017
1.11,2.193E+017
1.12,2.199E+017
1.13,2.2049E+017
1.14,2.2106E+017
1.15,2.2158E+017
1.16,2.221E+017
1.17,2.2259E+017
1.18,2.2305E+017
1.19,2.2351E+017
1.2,2.2391E+017
1.21,2.2431E+017
1.22,2.2471E+017
1.23,2.2503E+017
1.24,2.2536E+017
1.25,2.2566E+017
1.26,2.259E+017
1.27,2.2614E+017
1.28,2.2634E+017
1.29,2.2652E+017
1.3,2.2669E+017
1.31,2.2681E+017
1.32,2.2691E+017
1.33,2.27E+017
1.34,2.2702E+017
1.35,2.2702E+017
1.36,2.2701E+017
1.37,2.2693E+017
1.38,2.2683E+017
1.39,2.2672E+017
1.4,2.2653E+017
1.41,2.2633E+017
1.42,2.2612E+017
1.43,2.2582E+017
1.44,2.2551E+017
1.45,2.2519E+017
1.46,2.2477E+017
1.47,2.2434E+017
1.48,2.2391E+017
1.49,2.2336E+017
1.5,2.2281E+017
1.51,2.2226E+017
1.52,2.2155E+017
1.53,2.2083E+017
1.54,2.2011E+017
1.55,2.1923E+017
1.56,2.1833E+017
1.57,2.1742E+017
1.58,2.1639E+017
1.59,2.1531E+017
1.6,2.1423E+017
1.61,2.1302E+017
1.62,2.1173E+017
1.63,2.1044E+017
1.64,2.0902E+017
1.65,2.0746E+017
1.66,2.059E+017
1.67,2.0424E+017
1.68,2.0238E+017
1.69,2.0052E+017
1.7,1.9862E+017
1.71,1.9636E+017
1.72,1.941E+017
1.73,1.9185E+017
1.74,1.891E+017
1.75,1.863E+017
1.76,1.8349E+017
1.77,1.8022E+017
1.78,1.7667E+017
1.79,1.7312E+017
1.8,1.692E+017
1.81,1.6454E+017
1.82,1.5989E+017
1.83,1.552E+017
1.84,1.4911E+017
1.85,1.4302E+017
1.86,1.3692E+017
1.87,1.3021E+017
1.88,1.2319E+017
1.89,1.1617E+017
1.9,1.0923E+017
1.91,1.0245E+017
1.92,9.5665E+016
1.93,8.8882E+016
1.94,8.0697E+016
1.95,7.2352E+016
1.96,6.4007E+016
1.97,5.1559E+016
1.98,3.4373E+016
1.99,1.7186E+016
2,0
